,content,score,at
3962,lebih bagus dari chat gpt4,5,2024-05-15 03:20:55
3732,"saya minta gambar kucing, yg keluar gambar ikan. 😅😅😅",2,2024-05-15 03:32:16
1076,"Setelah instal ini fitur google asisten yang bisa langsung menerjemahkan teks yang ada di layar hilang, gimana ngembaliin fitur translate via google asisten lagi??",1,2024-05-15 05:14:22
8073,nice,5,2024-05-15 05:33:41
7638,Keren!,5,2024-05-15 06:55:10
8420,MUDA FAMILY,5,2024-05-15 07:01:27
7531,lumayan,3,2024-05-15 09:10:53
3076,"luarbiasa, kalau bisa advant harganya diturunkan",5,2024-05-15 10:34:26
7817,ok,5,2024-05-15 10:47:50
2898,Pembaruan malah tambah jelek. Semua jawaban pakai bahasa Inggris.,1,2024-05-15 12:52:56
4434,IQ perlu ditingkatkan,1,2024-05-15 13:35:03
2957,butuh update untuk fitur upload file pdf,1,2024-05-15 14:26:29
7405,"I like the features, updates by Gemini.",5,2024-05-15 14:46:25
7807,mantab,5,2024-05-15 15:13:02
7940,nice,5,2024-05-15 15:41:27
8274,Keren banget,5,2024-05-15 18:24:56
7793,Assalamualaikum,5,2024-05-15 23:20:27
2208,"Fitur nya bagus, tapi saya Jawab pake bahasa Indonesia yang keluar Pake bahasa Inggris. Tolong diperbaiki lagi untuk aplikasi ini",3,2024-05-15 23:34:46
3310,masih perlu improve tapi sudah bagus,5,2024-05-16 00:40:12
8013,mantap,5,2024-05-16 01:41:04
3848,Aku sering melakukan Turing test dan Ini cukup menarik.,4,2024-05-16 02:04:12
3736,"16 Mei 2024 mencoba Google Gemini Untuk pengalaman, kita coba dulu",5,2024-05-16 08:26:21
8286,Lebih keren,5,2024-05-16 15:59:27
4360,penilaian untuk sementara,3,2024-05-16 17:03:35
3554,keren parah kalah sama ai buatan chtgpt,5,2024-05-17 03:35:44
7946,mantap,5,2024-05-17 03:54:38
7614,Great so far,5,2024-05-17 05:47:27
7934,keren,5,2024-05-17 06:08:53
3566,Sangat membantu dan luar biasa...,5,2024-05-17 06:44:29
7564,sangat bagus👍,5,2024-05-17 07:06:57
3204,Saya harap agar kedepannya aplikasi ini dapat digunakan terpisah tanpa memerlukan aplikasi Google versi terbaru!,4,2024-05-17 08:04:34
3926,Sangat Manfaat di saat yang tepat,5,2024-05-17 08:38:04
7446,"superb, very useful",5,2024-05-17 08:43:48
3180,Kenapa hasilnya kadang bahasa inggris? Di website nya bisa pake bahasa Indonesia,5,2024-05-17 09:18:39
7410,"The UI is too ugly, I hope it gets better",5,2024-05-17 11:04:47
4024,"Sangat berguna, bagus",5,2024-05-17 12:41:45
8341,bahasa Indonesia,5,2024-05-17 14:21:25
4501,baik sekali,5,2024-05-17 14:22:18
8362,Oke mantap,5,2024-05-17 15:00:39
2728,"Sebenarnya sudah bagus, tapi masih sering menggunakan bahasa inggris",3,2024-05-17 16:05:31
8063,keren,5,2024-05-17 16:21:37
4261,bahasa enggres,1,2024-05-17 17:20:55
7378,"As Gemini Advanced user, this AI is not smarter than ChatGPT free or Plus.",1,2024-05-17 22:58:48
4196,Lebih KEREN dari yg populer,5,2024-05-17 23:02:47
7937,Kerenn,5,2024-05-17 23:18:57
4057,Hp ku android 11 dah dapat google Gemini,2,2024-05-18 00:53:33
8357,great and marvelous,5,2024-05-18 01:30:46
1010,"Uprade yang tidak buruk. akan tetapi, ketika beralih dari asisten google ke Gemini, beberapa fitur seperti menghilang, seperti mengatur timer yang dapat diketik menggunakan keyboard. Saya harap Google Gemini dapat mengakses fitur yang tersedia di Google Asisten dengan cara diketik, karena untuk saat ini Google Gemini hanya bisa mengakses fitur Asisten Google lewat suara. Mengingat beberapa orang tidak selalu bisa berbicara di depan umum.",3,2024-05-18 01:39:13
7763,bgus,5,2024-05-18 01:54:46
7501,bad ux,3,2024-05-18 03:57:47
4069,bagus sangat membantu,5,2024-05-18 05:14:47
7392,tolong diperbaiki agar bisa disalin per kalimat,2,2024-05-18 05:54:15
7524,bagus,3,2024-05-18 06:55:35
2996,Bermanfaat semoga lebih banyak jenis suara nya dikembangkan,4,2024-05-18 08:00:29
7575,tolol,1,2024-05-18 08:01:18
4446,Bisa buat curhat,5,2024-05-18 09:11:05
7819,bermanfaat,5,2024-05-18 13:14:16
8235,keren..👍,5,2024-05-18 14:01:54
3362,tidak bisa bahasa Indonesia 😔👎🏻,1,2024-05-18 14:56:51
7600,so great gemini,5,2024-05-18 17:29:16
3545,gemini sangat membantu dalam memudahkan kegiatan sehari-hari,5,2024-05-18 20:52:33
4158,keren bgt🔥🔥🔥 TOP BGT lah 👍🏻👍🏻👍🏻,5,2024-05-19 01:18:35
4028,bagus dan memudahkan saya,5,2024-05-19 02:06:18
7432,"better than chat gpt, i like this app",5,2024-05-19 06:57:52
1258,"Wah bagus sih. tiba tiba ini muncul di layar saya seperti saat saya memanggil asisten Google saya, tapi ini muncul sendiri. perkataan saya lebih masuk kepada Gemini. Saya kasih bintang 4 dulu, kalau udah makin berkembang saya kasih bintang 5",4,2024-05-19 08:16:59
586,"saya masih memilih asisten google untuk menjadi asisten google saya, karena saya masih sering menggunakan fitur terjemah layar dari google lens. ketika mencoba terjemah layar di gemini, hanya menunjukkan teks saja, saya lebih suka asisten karena bisa mengetahui letak tulisan yang ada di layar. tolong jangan hapus fitur asisten ketika menggunakan gemini. terlebih lagi, juga tambahkan fitur google lens ke dalam gemini. terimakasih",3,2024-05-19 11:34:10
2275,"sangat baik, hanya saja belum se-baik google asisten saya harap gemini dapat bekerja menggantikan google assistant sepenuhnya",4,2024-05-19 12:33:08
3102,foto yang ditampilkan tidak sesuai dengan deskripsi,1,2024-05-19 15:09:23
8443,keren...,5,2024-05-19 15:09:23
4443,SANGAT CANGGIH DAN PRAKTIS,5,2024-05-19 20:58:06
4229,sangat membantu,5,2024-05-19 21:46:43
4036,masih kurang dalam menjawab b indo,4,2024-05-19 23:09:47
4431,mantap sekali,5,2024-05-20 00:32:19
7576,"Gemini, terimakasih",5,2024-05-20 00:43:31
2248,"lumayan, perlu pengembangan lebih lanjut aja. jika sudah sempurna & betul-betul bermanfaat untuk memudahkan kehidupan saya, baru deh saya beri rating 5 stars 😉",4,2024-05-20 03:53:36
3238,sangat tidak responsif namun baik lah,2,2024-05-20 04:37:18
4490,Bagus sekali,5,2024-05-20 07:14:49
3361,bagus walupun dalam pengembangan,5,2024-05-20 09:32:17
7419,"good, i so like it",5,2024-05-20 09:56:38
1012,Ai nya sih bagus cuman mohon pertimbangannya seperti ketika menanyakan sesuatu menggunakan bahasa tertentu di jawab dengan bahasa yang di gunakan sang penanya sama klo bisa coba lebih responsif lagi,4,2024-05-20 09:56:38
2281,"mantap,apa lagi dengan pintasan mengaksesnya yang begitu simpel",5,2024-05-20 10:46:40
3320,tak bisa mengerti bahasa Indonesia,1,2024-05-20 10:57:42
2620,cukup baik 👌 diperlukan evaluasi soal jawaban yang tidak sesuai dengan bahasa yang ditanyakan (pertanyaan - Indonesia Jawaban - Inggris),4,2024-05-20 11:41:34
7868,keren,5,2024-05-20 12:12:48
1615,"Ditanya gambar apa ini, jawabnya nggak punya kemampuan itu. Pas ditanya lantas apa gunanya fitur kamera, malah menjelaskan fitur-fitur nya. Kan nggak nyambung. Harusnya pertanyaan ke sekian dikaitkan ke pertanyaan sebelumnya",1,2024-05-20 12:32:45
3440,"bagus, jelas, gratis gk kayak B",5,2024-05-20 13:46:10
3875,Keren banget sih ai yang Bagus,5,2024-05-20 14:14:31
2537,"ya masih dalam pengembangan, ku harap kedepannya jadi lebih baik, dan tolong privasi dijaga sebaik mungkin",5,2024-05-20 15:51:15
8114,bagus,5,2024-05-20 20:08:12
4237,sangat membantu,5,2024-05-20 22:30:42
7558,mantafff👌👍,5,2024-05-21 00:42:47
3265,bahasa tdk bisa bhsa Indonesia,1,2024-05-21 01:28:56
2746,Tingkatkan lebih banyak lagi input datanya biar makin cerdas,5,2024-05-21 04:47:16
3933,"Mantap, sangat membantu.",5,2024-05-21 06:11:27
3203,masih ada satu kendala yaitu buka apk kurang lancar,4,2024-05-21 06:15:21
7458,lumayanlah,4,2024-05-21 07:23:37
8057,mantap,5,2024-05-21 11:03:45
2837,terkadang ada bahasa inggris dan ngaco informasi nya,4,2024-05-21 12:05:43
7502,biasa aja,3,2024-05-22 00:33:30
3187,Lebih bagus asisten nya dibanding yg lama,5,2024-05-22 00:43:29
3819,Bagus untuk produktivitas,5,2024-05-22 01:56:11
4499,KEREN!! SUKAAA BGT!!,5,2024-05-22 04:02:45
7577,bagus banget 👍,5,2024-05-22 04:35:45
3275,Tambahkan 'telusuri layar' seperti punya google assistant,5,2024-05-22 06:03:49
3195,sangat membantu karena banyak solusi yang di tawarkan,5,2024-05-22 06:13:07
4106,bagus banget cuy,5,2024-05-22 06:30:08
4186,terlalu buruk karna tidak baik,1,2024-05-22 11:56:18
7787,keren,5,2024-05-22 12:13:48
3959,Msh bgs googel asisten si ini enga fungkis di android 11,3,2024-05-22 12:37:07
1292,"Kenapa google gemini aku pas lagi ngesearch malah kyk gini""Maaf, saya masih belum bisa berbicara dalam bahasa ini karena masih mempelajarinya. Anda dapat menanyakannya lagi dalam bahasa lain yang Anda ketahui"". Kayak gitu tolong gimana cara mengatasi nya",3,2024-05-22 12:41:50
3992,"tidak berguna, kembalikan saya ke google asistan",1,2024-05-22 14:35:17
7973,bagus,5,2024-05-22 21:53:23
3950,tidak lebih baik dari Google asisten,1,2024-05-23 03:19:00
7439,Belum sempurna,4,2024-05-23 03:30:25
3877,perintah suara agak sulit dieksekusi,4,2024-05-23 04:28:04
3638,Sangat membantu pekerjaan dan tugas saya sebagai Entrepreneur,5,2024-05-23 06:19:26
4013,tidak bisa di gunakan,1,2024-05-23 07:22:13
8125,bagus,5,2024-05-23 08:24:19
3181,sangat berguna dan membantu pekerjaan/kegiatan keseharian,5,2024-05-23 10:22:57
8061,mantap,5,2024-05-23 10:23:09
8261,good ai,5,2024-05-23 10:42:12
7644,good,5,2024-05-23 14:14:57
7938,mantaaaab,5,2024-05-23 16:01:30
8550,GeminiMan,5,2024-05-23 17:06:01
7618,kelasssss apk nya,5,2024-05-23 18:27:50
7699,keren,5,2024-05-23 23:26:40
8368,SANGATT MEMBANTUY,5,2024-05-24 03:45:32
1011,"best!! assistant yang responsif dengan balasan yang mudah dimengerti, pokoknya jadi simpel banget pakenya apalagi kalo lagi berkendara, gak seperti asisten yang lama, yang cuma search jawaban nya di google langsung",5,2024-05-24 03:49:38
7792,global,5,2024-05-24 04:51:45
8684,Bagus,5,2024-05-24 05:13:07
3298,tidak secanggih Google assistant,1,2024-05-24 06:53:11
1256,"sangat bagus! akan tetapi, masih lebih nyaman menggunakan google asisten dibandingkan Gemini, mungkin karena masih dalam tahap pengembangan. 🤔",5,2024-05-24 08:36:16
8352,terima kasih,5,2024-05-24 13:51:45
7845,omnipotent,5,2024-05-24 13:55:16
3748,"oke punyalah, saya perlu waktu mempelajarinya",4,2024-05-24 15:50:58
3356,"Kereeennn, mengubah google assisten jadi gemini ai itu ide yang luar biasa",5,2024-05-24 15:57:10
7882,bagus,5,2024-05-24 16:48:27
8392,very good,5,2024-05-24 17:07:53
7394,google asssist old better than this,1,2024-05-24 18:04:44
7673,jos,5,2024-05-24 18:20:31
8236,bagus banget,5,2024-05-24 19:52:56
7689,Ok,5,2024-05-24 21:09:36
4100,beda dengan chat gpt yg lain,4,2024-05-24 21:13:23
3894,bisa gunakan sangat bagus,5,2024-05-24 21:27:00
7498,ADD INDONESIA LANGUAGE PLEASE,5,2024-05-25 00:23:48
3949,lebih cerdas dibanding chatgpt,5,2024-05-25 01:32:52
8327,good for me,5,2024-05-25 03:43:06
7697,keren,5,2024-05-25 08:06:34
4022,bagus sangat memudahkan,5,2024-05-25 10:00:59
4201,cakupannya kurang luas,4,2024-05-25 11:17:37
4008,Brainly sama google sekarang buat apa kalo ada ini,5,2024-05-25 12:29:54
4456,Bagus saya suka,5,2024-05-25 12:50:17
3232,Mudah dan sangat membantu bagi lansia dan yang mau merubah jadwal,5,2024-05-25 13:02:38
4507,bgs itu aja,5,2024-05-25 13:11:50
3413,"Aku sangat suka, semoga kedepannya ditingkatkan lagi",5,2024-05-25 13:58:50
4240,sangat berguna,5,2024-05-25 14:59:30
3816,baru mulai pakai dan lumayan enjoy,5,2024-05-25 15:31:27
3861,terimakasih fitur sangat baik,5,2024-05-25 15:51:24
4117,keren sih ini,5,2024-05-25 22:43:28
7376,"Forced to use google assistant, but after being repurposed with gemini can not control home devices connected google assistant through the lock screen.",1,2024-05-25 23:43:20
4436,Tazqiatan Isria Maulida sangat bagus,5,2024-05-26 00:09:34
7915,good,5,2024-05-26 02:01:07
7963,ok,5,2024-05-26 03:27:14
4246,banyak kurangnya,3,2024-05-26 04:28:46
2536,"Tanggal 26 Mei 2024 tidak bisa dibuka, minta update tapi tidak tersedia update nya di playstore",4,2024-05-26 05:13:20
1663,sangat membantu sekali untuk aktivitas sehari-hari untuk minta saran bisa tanya jawab di jawab semua saya berharap ada peningkatan lagi dari aplikasi ini tambah kan banyak bahasa negara lain terimakasih pihak Google semoga dibaca 🙏🙏🙏,4,2024-05-26 06:17:59
3259,"saya baru mencoba, dan sangat responsif",5,2024-05-26 07:00:41
7551,bagus!,3,2024-05-26 07:26:44
3332,"cari pake bahasa indo, dikasih pake bahasa inggris terus",1,2024-05-26 09:17:28
3493,Tingkatkan agar bisa bersuara,4,2024-05-26 10:57:04
3965,kurang bahasa Indonesia,4,2024-05-26 13:32:07
4063,Gemini itu sebenarya pintar mendekati Chatgpt.,4,2024-05-26 13:39:35
4010,ok sangat membantu sekali,5,2024-05-26 16:30:05
7630,jelek,1,2024-05-26 16:42:44
8238,luar biasa,5,2024-05-26 17:12:06
7823,Gokil,5,2024-05-26 17:52:31
4114,Gemini itu seperti sahabat yang serba tahu.,5,2024-05-26 21:25:22
7686,Keren,5,2024-05-27 00:59:28
7643,wow,5,2024-05-27 02:01:44
7804,Interesting,5,2024-05-27 03:34:27
2843,"bagus , respon cepat tapi baru saya pakai untuk bertanya , saya belum coba untuk fitur gambar",5,2024-05-27 03:51:43
8041,mantap,5,2024-05-27 08:39:52
3966,bagus dan sangat membantu,5,2024-05-27 09:35:41
7843,good,5,2024-05-27 10:58:12
3316,"kapan ada b indo, sengaja ya blm rilis krn ad s24?",1,2024-05-27 11:26:57
7816,keren,5,2024-05-27 11:41:52
4009,bisa menjawab semua pertanyaan,5,2024-05-27 11:43:58
2876,"Bagus banget, Ramah, kalo cari di google biasa kadang-kadang nggak ada tapi ini paling baik sejauh ini",5,2024-05-27 11:56:48
7455,mantap,4,2024-05-27 14:00:15
8267,kerja bagus,5,2024-05-28 02:31:14
2255,Di google assistant bisa mencari suara hewan dan suara lain-lain tapi di gemini yang muncul hanya artikel tidak langsung membunyikan suara yang di cari,2,2024-05-28 03:48:55
3988,perlu peningkatan lagi,4,2024-05-28 04:54:51
4326,sangat membantu,5,2024-05-28 05:34:50
7762,coolll,5,2024-05-28 06:24:49
2231,belu bisa menggantikan fitur asisten google untuk akses Spotify melalui perintah suara. akses timer bisa,3,2024-05-28 12:34:21
3188,masih banyak yang perlu di tambah fitur nya,3,2024-05-28 13:52:22
1323,"Bagus ..cuma bahasa mungkin masih kurang lengkap...kalau kita bertanya pakai bahasa A.. jawabnya kadang suka pakai bhs Inggris..,mungkin masih dalam tahap pengembangan..",5,2024-05-28 13:58:45
8023,mantap,5,2024-05-28 14:31:35
4113,baru coba bagus,5,2024-05-28 15:14:28
8202,good,5,2024-05-28 15:21:55
8478,mantap nich Gemini.... 👍,5,2024-05-28 16:58:11
8703,goood,5,2024-05-28 18:14:35
2233,"Menurutku sih google Gemini sangat membantu sekali, aku mencari sumber berita dan informasi sangat lengkap dan detail banget....",5,2024-05-28 20:29:44
1267,"untuk performa ai bagus, hanya saja masih ada masalah di bahasa. kadang bahasa Indonesia kadang berubah bahasa Inggris. mungkin masih pengembangan jadi ada beberapa bug.",5,2024-05-28 22:32:04
3737,gak guna gak berfungsi,1,2024-05-28 23:28:36
7824,Bagus,5,2024-05-29 00:37:23
7597,gabisa b.indo,1,2024-05-29 01:47:31
8123,keren,5,2024-05-29 01:48:42
2244,"Masih dipelajari. Tapi, aplikasinya sedikit berat untuk dijalankan di android saya yang memiliki memori 4GB.",5,2024-05-29 03:13:03
8037,bagus,5,2024-05-29 03:44:56
8152,good,5,2024-05-29 09:26:11
3335,bagus dan akan terus dikembangkan.,5,2024-05-29 11:12:20
3990,2 bintang dlu ya klw bagus ntar aku kasi 5😉,2,2024-05-29 14:57:12
4108,membantu dan gratis,5,2024-05-29 17:25:42
2266,Tidak bisa menangkap suara saya ketika menggunakan headset. Jadi kadang capek harus ketik.,2,2024-05-29 19:06:27
7883,Ok,5,2024-05-30 00:07:29
7536,wowowoow,3,2024-05-30 00:39:01
8215,bagus👍,5,2024-05-30 00:39:19
8380,Ok good,5,2024-05-30 00:53:29
7385,Please add screen translate like a assistant,4,2024-05-30 01:59:50
3518,ga bisa bahasa Indonesia,1,2024-05-30 04:33:05
7571,tolol,1,2024-05-30 05:48:07
8009,Bagus,5,2024-05-30 07:26:26
7572,lemot,1,2024-05-30 07:30:24
2293,"Respon AI-nya cepat, informasinya masih ada yang salah. But overall, lumayan.",3,2024-05-30 08:53:47
3540,Mereka yang kasih bintang 5 ini kayaknya pertama pake AI deh.. Barang beginian dipuji,1,2024-05-30 08:58:06
8111,wow,5,2024-05-30 09:05:39
7540,Good application,1,2024-05-30 09:13:32
4450,baguus.. saya suka,5,2024-05-30 09:36:32
3906,ga bisa generate gambar kaya bing,1,2024-05-30 10:05:57
7428,"damn, so good man",5,2024-05-30 10:09:16
7892,baik,5,2024-05-30 11:14:32
3083,"pakai bahasa inggris, banyak gak taunya daripada taunya",1,2024-05-30 11:19:02
8419,Good AI,5,2024-05-30 11:20:22
2247,"Maaf, saya masih belum bisa berbicara dalam bahasa ini (Indonesia) Karena masih mempelajarinya😭😭, tolong dong diperbaiki secepatnya",1,2024-05-30 11:55:40
7642,keren,5,2024-05-30 12:08:14
8089,niseeee,5,2024-05-30 12:22:27
7490,good,4,2024-05-30 12:23:46
3918,kurang tepat respon nya,2,2024-05-30 12:38:26
3912,tolong dibuat jendela mengambang,3,2024-05-30 12:39:04
2844,jangan dibatasi terkecuali kalau untuk keamanan data dan negara,1,2024-05-30 12:50:41
3337,"Gw kira aplikasi baru mihoyo,karna bentuk nya mirip primogem",5,2024-05-30 12:58:08
8403,aplikasi bagus,5,2024-05-30 13:37:48
3853,Saat ini masih belum bisa secara akurat menganalisa orang,4,2024-05-30 13:48:43
4329,sangat membantu,5,2024-05-30 13:56:05
7619,its a very interested,5,2024-05-30 14:01:49
8075,Nice,5,2024-05-30 14:03:31
3283,tidak bisa membuat gambar AI,1,2024-05-30 14:07:44
7513,mayan bagus,4,2024-05-30 14:34:56
7504,bahasanya error,2,2024-05-30 15:14:57
8252,its good,5,2024-05-30 15:30:04
7860,goodjob,5,2024-05-30 15:41:22
8237,mantap si,5,2024-05-30 15:43:26
3924,Bagus sekali sangat rekomendasi,5,2024-05-30 16:00:31
7723,good,5,2024-05-30 16:08:17
2205,"sangat membantu banget ,dan ini sangat di sarankan sih buat .. yang GK tau apa apa .sesudah pake apl ini auto wawasan makin tinggi deh 🥰🥰🥰🥰",5,2024-05-30 16:10:14
7835,good,5,2024-05-30 16:46:43
3260,belum sempurna untuk internal,4,2024-05-30 16:55:33
4192,Sangat bermanfaat,5,2024-05-30 17:24:08
4233,sangat membantu sekali,5,2024-05-30 18:00:36
8297,good job,5,2024-05-30 18:15:53
7390,"best AI model in play store, Good job Google team :3👍",5,2024-05-30 18:18:06
3731,"belum sempat menggunakan nya, se wort it apa Gemini Google",4,2024-05-30 18:21:44
3891,bagus cerdas pintar,5,2024-05-30 19:35:06
8207,good,5,2024-05-30 22:33:02
7457,good,4,2024-05-30 22:48:38
3340,lagi tahap pengembangan tapi boleh lah,5,2024-05-30 23:02:24
7478,lumayan,4,2024-05-30 23:24:01
4396,Bagus terima kasih,5,2024-05-30 23:27:21
4410,bagus sekali,5,2024-05-30 23:58:34
1009,"Ai nya sangat berguna dan bermanfaat, Jika kalian saat pencarian yang muncul bahasa Inggris kalian tinggal tambahkan saja perintahnya dengan mengetik menggunakan bahasa Indonesia nanti juga muncul... Sukses selalu Google 😊",5,2024-05-31 00:11:16
3920,sangat membantu penyelesaian tugas,4,2024-05-31 00:28:36
7703,bagus,5,2024-05-31 01:17:12
3086,"Fast respon, menarik, sesuai ekspetasi jawab nya",5,2024-05-31 02:05:40
7542,respon lambat,1,2024-05-31 02:24:50
7658,bgus,5,2024-05-31 03:25:56
3976,Saya rubah google asisten JD Gemini JD GK perlu install aplikasi ini,5,2024-05-31 03:39:34
8301,sangat bagus,5,2024-05-31 04:49:52
7777,Ok,5,2024-05-31 04:50:35
3208,Sangat bagus. Untuk gratisan ai.,5,2024-05-31 06:16:04
4311,tolong tambahkan b.indonesia,1,2024-05-31 07:41:46
3479,cukup bagus untuk versi awal,5,2024-05-31 07:44:20
2265,"Katanya perlu update, padahal ini baru aja di download. Dan pas mau diupdate malah ga ada opsinya. Tolong perbaiki, karna sampai sekarang belum bisa dipakai",3,2024-05-31 08:08:26
7452,good,4,2024-05-31 08:25:10
7901,Ok,5,2024-05-31 08:27:31
8146,جيد,5,2024-05-31 09:39:59
3937,kenapa tidak sebagus google asisten,1,2024-05-31 10:01:13
3878,Repot harus Update aplikasi Google segala,1,2024-05-31 10:44:28
3436,"masih banyak yg perlu dibenahi, seperti menjawab pertanyaan ""bagaimana cara berternak kambing tanpa mempunyai kambing ??""",1,2024-05-31 11:00:04
3235,Wow! Keren. Saya suka aplikasi ini dan sudah menggunakannya sejak masih dengan nama Google bard.,5,2024-05-31 11:05:58
7645,baik,5,2024-05-31 11:23:49
2756,tidak bisa berfungsi seperti google asisten namun saya dipaksa untuk mengganti asisten menjadi gemini,4,2024-05-31 11:27:12
3825,tidak bisa baca google maps,3,2024-05-31 11:28:59
3254,Knp g bisa ngomong pke bahasa Indonesia? Pdhl katanya udh support.,2,2024-05-31 11:45:33
3903,Lumayan keren AI nya google,5,2024-05-31 11:57:23
7905,Great,5,2024-05-31 11:58:46
3530,mudah mudahan lebih progresif,5,2024-05-31 12:40:26
8310,saya gemini,5,2024-05-31 12:40:29
1245,"Saya sudah kecanduan sistem android/aplikasi google. Ini ada lagi. Saya percaya sangat membantu untuk mencari jawaban dari pertanyaan atau kebutuhan informasi dan hiburan, perkembangan iptek terkini/AI...",5,2024-05-31 12:54:50
3206,perlu dilatih dan perbaikan kembali,1,2024-05-31 13:00:19
8493,Bagus,4,2024-05-31 13:03:34
